"family","shape","seed","config","package","repetition","batch_size","seconds","block_seconds","object_mb","reported_picasso_seconds","path_fitted"
"gaussian","tall",74002,"matched_covariance","glmnet",4,19,0.00836842105263157,0.159,4.74481964111328,NA,45
"gaussian","tall",74002,"matched_covariance","picasso",4,12,0.01175,0.141,0.0210418701171875,0.0114459991455078,45
"gaussian","tall",74002,"matched_covariance","picasso",5,12,0.01175,0.141,0.0210418701171875,0.0108959674835205,45
"gaussian","tall",74002,"matched_covariance","glmnet",5,19,0.00836842105263157,0.159,4.74481964111328,NA,45
"gaussian","tall",74002,"matched_covariance","glmnet",6,19,0.00831578947368428,0.158000000000001,4.74481964111328,NA,45
"gaussian","tall",74002,"matched_covariance","picasso",6,12,0.0118333333333333,0.141999999999999,0.0210418701171875,0.0114579200744629,45
"gaussian","tall",74002,"matched_covariance","picasso",7,12,0.01175,0.141,0.0210418701171875,0.011185884475708,45
"gaussian","tall",74002,"matched_covariance","glmnet",7,19,0.0112105263157894,0.212999999999999,4.74481964111328,NA,45
"gaussian","tall",74003,"public_default","picasso",1,9,0.0145555555555555,0.131,0.0219879150390625,0.0138070583343506,45
"gaussian","tall",74003,"public_default","glmnet",1,9,0.00866666666666667,0.0780000000000001,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","glmnet",2,9,0.0082222222222222,0.0739999999999998,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","picasso",2,9,0.0146666666666667,0.132,0.0219879150390625,0.0139851570129395,45
"gaussian","tall",74003,"public_default","picasso",3,9,0.0148888888888889,0.134,0.0219879150390625,0.0159928798675537,45
"gaussian","tall",74003,"public_default","glmnet",3,9,0.00944444444444444,0.085,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","glmnet",4,9,0.00944444444444444,0.085,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","picasso",4,9,0.0151111111111111,0.136,0.0219879150390625,0.0146019458770752,45
"gaussian","tall",74003,"public_default","picasso",5,9,0.0146666666666666,0.132,0.0219879150390625,0.0138061046600342,45
"gaussian","tall",74003,"public_default","glmnet",5,9,0.0142222222222222,0.128,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","glmnet",6,9,0.00844444444444445,0.0760000000000001,4.74554443359375,NA,45
"gaussian","tall",74003,"public_default","picasso",6,9,0.0142222222222222,0.128,0.0219879150390625,0.0142350196838379,45
"gaussian","tall",74003,"public_default","picasso",7,9,0.0164444444444444,0.148,0.0219879150390625,0.0165438652038574,45
"gaussian","tall",74003,"public_default","glmnet",7,9,0.00833333333333335,0.0750000000000002,4.74554443359375,NA,45
"gaussian","tall",74003,"matched_naive","picasso",1,12,0.0146666666666667,0.176,0.0219879150390625,0.0142970085144043,45
"gaussian","tall",74003,"matched_naive","glmnet",1,8,0.017375,0.139,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","glmnet",2,8,0.01725,0.138,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","picasso",2,12,0.0145,0.174,0.0219879150390625,0.0136098861694336,45
"gaussian","tall",74003,"matched_naive","picasso",3,12,0.0144166666666667,0.173,0.0219879150390625,0.0135838985443115,45
"gaussian","tall",74003,"matched_naive","glmnet",3,8,0.01725,0.138,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","glmnet",4,8,0.017375,0.139,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","picasso",4,12,0.0144166666666666,0.172999999999999,0.0219879150390625,0.0139031410217285,45
"gaussian","tall",74003,"matched_naive","picasso",5,12,0.01425,0.171,0.0219879150390625,0.0138750076293945,45
"gaussian","tall",74003,"matched_naive","glmnet",5,8,0.01725,0.138,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","glmnet",6,8,0.018,0.144,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_naive","picasso",6,12,0.0143333333333333,0.172,0.0219879150390625,0.0136880874633789,45
"gaussian","tall",74003,"matched_naive","picasso",7,12,0.01425,0.170999999999999,0.0219879150390625,0.0133600234985352,45
"gaussian","tall",74003,"matched_naive","glmnet",7,8,0.0175,0.14,4.74575805664062,NA,45
"gaussian","tall",74003,"matched_covariance","picasso",1,16,0.011375,0.182,0.022003173828125,0.0102691650390625,45
"gaussian","tall",74003,"matched_covariance","glmnet",1,19,0.00821052631578946,0.156,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","glmnet",2,19,0.00826315789473684,0.157,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","picasso",2,16,0.0120625,0.193,0.022003173828125,0.0120401382446289,45
"gaussian","tall",74003,"matched_covariance","picasso",3,16,0.0121875,0.195,0.022003173828125,0.0104320049285889,45
"gaussian","tall",74003,"matched_covariance","glmnet",3,19,0.00815789473684207,0.154999999999999,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","glmnet",4,19,0.00836842105263162,0.159000000000001,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","picasso",4,16,0.0114375,0.183,0.022003173828125,0.0108771324157715,45
"gaussian","tall",74003,"matched_covariance","picasso",5,16,0.0134375,0.215,0.022003173828125,0.0119209289550781,45
"gaussian","tall",74003,"matched_covariance","glmnet",5,19,0.00826315789473684,0.157,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","glmnet",6,19,0.00815789473684216,0.155000000000001,4.74576568603516,NA,45
"gaussian","tall",74003,"matched_covariance","picasso",6,16,0.0118125,0.189,0.022003173828125,0.0114188194274902,45
"gaussian","tall",74003,"matched_covariance","picasso",7,16,0.011375,0.182,0.022003173828125,0.0102930068969727,45
"gaussian","tall",74003,"matched_covariance","glmnet",7,19,0.0108947368421053,0.207000000000001,4.74576568603516,NA,45
"gaussian","wide",74001,"public_default","picasso",1,6,0.0265,0.159,0.100540161132812,0.0257399082183838,45
"gaussian","wide",74001,"public_default","glmnet",1,5,0.0244,0.122,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","glmnet",2,5,0.0242,0.121,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","picasso",2,6,0.0261666666666667,0.157,0.100540161132812,0.0252580642700195,45
"gaussian","wide",74001,"public_default","picasso",3,6,0.0263333333333333,0.158,0.100540161132812,0.0265591144561768,45
"gaussian","wide",74001,"public_default","glmnet",3,5,0.0238,0.119,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","glmnet",4,5,0.0238,0.119,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","picasso",4,6,0.028,0.168,0.100540161132812,0.0297119617462158,45
"gaussian","wide",74001,"public_default","picasso",5,6,0.027,0.162,0.100540161132812,0.025554895401001,45
"gaussian","wide",74001,"public_default","glmnet",5,5,0.0239999999999999,0.12,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","glmnet",6,5,0.0242,0.121,7.15138244628906,NA,45
"gaussian","wide",74001,"public_default","picasso",6,6,0.0258333333333334,0.155,0.100540161132812,0.026209831237793,45
"gaussian","wide",74001,"public_default","picasso",7,6,0.0263333333333333,0.158,0.100540161132812,0.0260899066925049,45
"gaussian","wide",74001,"public_default","glmnet",7,5,0.0238,0.119,7.15138244628906,NA,45
"gaussian","wide",74002,"public_default","picasso",1,6,0.0256666666666667,0.154,0.104400634765625,0.0256221294403076,45
"gaussian","wide",74002,"public_default","glmnet",1,5,0.0248,0.124,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","glmnet",2,5,0.024,0.12,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","picasso",2,6,0.0255,0.153,0.104400634765625,0.0254549980163574,45
"gaussian","wide",74002,"public_default","picasso",3,6,0.0255,0.153,0.104400634765625,0.0252070426940918,45
"gaussian","wide",74002,"public_default","glmnet",3,5,0.0239999999999999,0.12,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","glmnet",4,5,0.024,0.12,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","picasso",4,6,0.0255,0.153,0.104400634765625,0.025068998336792,45
"gaussian","wide",74002,"public_default","picasso",5,6,0.0255,0.153,0.104400634765625,0.0250720977783203,45
"gaussian","wide",74002,"public_default","glmnet",5,5,0.024,0.12,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","glmnet",6,5,0.024,0.12,7.15464019775391,NA,45
"gaussian","wide",74002,"public_default","picasso",6,6,0.0251666666666666,0.151,0.104400634765625,0.0247139930725098,45
"gaussian","wide",74002,"public_default","picasso",7,6,0.026,0.156,0.104400634765625,0.0265247821807861,45
"gaussian","wide",74002,"public_default","glmnet",7,5,0.0255999999999999,0.128,7.15464019775391,NA,45
"gaussian","wide",74003,"public_default","picasso",1,6,0.0255,0.153,0.092132568359375,0.0253918170928955,45
"gaussian","wide",74003,"public_default","glmnet",1,5,0.0242,0.121,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","glmnet",2,5,0.0232,0.116,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","picasso",2,6,0.0243333333333334,0.146,0.092132568359375,0.0239698886871338,45
"gaussian","wide",74003,"public_default","picasso",3,6,0.0243333333333333,0.146,0.092132568359375,0.0243258476257324,45
"gaussian","wide",74003,"public_default","glmnet",3,5,0.0226,0.113,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","glmnet",4,5,0.0234,0.117,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","picasso",4,6,0.0245,0.147,0.092132568359375,0.0250089168548584,45
"gaussian","wide",74003,"public_default","picasso",5,6,0.025,0.15,0.092132568359375,0.0240478515625,45
"gaussian","wide",74003,"public_default","glmnet",5,5,0.0234,0.117,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","glmnet",6,5,0.0232,0.116,7.14237213134766,NA,45
"gaussian","wide",74003,"public_default","picasso",6,6,0.0243333333333333,0.146,0.092132568359375,0.024226188659668,45
"gaussian","wide",74003,"public_default","picasso",7,6,0.0245,0.147,0.092132568359375,0.0246949195861816,45
"gaussian","wide",74003,"public_default","glmnet",7,5,0.0238,0.119,7.14237213134766,NA,45
